地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
暁町１〜３丁目,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
旭町,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
東町,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
石川町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
泉町,収集地区1,月,隔金20150109,隔火20150106,隔火20150114,隔水20150107,隔水20150107,隔水20150107,隔水20150114,隔火20150120,月 木,隔木20150115,隔木20150115
犬目町,収集地区4,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150114,隔水20150121,月 木,隔金20150116,隔金20150116
上野町,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
打越町,収集地区4,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150114,隔水20150121,月 木,隔金20150116,隔金20150116
宇津木町,収集地区18,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150107,隔月20150119,火 金,隔水20150114,隔水20150114
宇津貫町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
梅坪町,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
裏高尾町,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
追分町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
大塚,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
大船町,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
大谷町,収集地区18,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150107,隔月20150119,火 金,隔水20150114,隔水20150114
大横町,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
大和田町１〜７丁目,収集地区14,木,隔水20150107,隔金20150109,隔金20150116,隔月20150105,隔月20150105,隔月20150105,隔水20150107,隔金20150123,火 金,隔火20150113,隔火20150113
小門町,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
